product_id,product_name,category,unit_price,weight_kg,stock_quantity,is_active,created_date,sku,cost_price,supplier_code,warehouse_bin,reorder_threshold
PROD-a78a30d2-97aa-47c9-a571-11d18bae20be,Customer-Focused Didactic Synergy,Clothing,20.92,18.722,193,False,2025-04-06,SKU-GFB-0667,7.78,SUP-3536,BIN-FG-20,31
PROD-63c1dca2-edc2-41e6-b8bb-c946e35ebd61,Multi-Lateral Encompassing Pricing Structure,Automotive,175.89,3.218,157,True,2024-08-19,SKU-PLB-8386,101.13,SUP-3470,BIN-XI-13,19
PROD-4a72296b-d84c-4fdd-aa00-62f3e8342c57,Operative Dynamic Info-Mediaries,Automotive,28.33,7.771,443,True,2026-01-04,SKU-CEP-4995,9.94,SUP-9815,BIN-WP-17,43
PROD-8f206d3b-8eb5-4b22-b3f5-66210b744b04,Quality-Focused Systematic Instruction Set,Books,24.62,11.092,166,True,2024-11-01,SKU-UCZ-7077,14.83,SUP-2409,BIN-UF-64,50
PROD-eb63d763-f5c2-4d89-9381-36111251146b,Organic Intangible Forecast,Books,15.96,12.425,363,True,2026-01-29,SKU-GWA-2396,8.53,SUP-6361,BIN-ZM-39,6
PROD-4b52ec6c-1b6e-4ab4-94c0-5f8afaf2a55b,Assimilated Modular Open System,Electronics,61.23,8.947,28,True,2025-03-16,SKU-PGE-9343,35.31,SUP-7821,BIN-BP-45,46
PROD-4b918ce6-2a78-4f7f-9dfe-b4898af7cf15,Persistent Hybrid Task-Force,Home & Garden,284.09,10.008,370,True,2023-11-10,SKU-THG-2736,154.08,SUP-8512,BIN-YG-25,15
PROD-15fbe246-8ed9-4468-a367-0f53ff32578e,Proactive Maximized Leverage,Clothing,48.78,14.501,432,True,2025-02-26,SKU-LAU-7397,26.58,SUP-5034,BIN-IO-72,14
PROD-26fc2cee-1523-47ed-bd60-39680b4bcd27,Total Dynamic Support,Sports,40.42,24.007,173,False,2023-09-23,SKU-DDZ-8352,19.47,SUP-0888,BIN-YR-28,50
PROD-6249c06d-da62-4117-be8f-e5356d1f6e79,Intuitive Composite Core,Toys,84.59,1.911,311,True,2024-12-29,SKU-QVY-8162,32.23,SUP-3108,BIN-OH-12,39
PROD-c03824a9-9f88-4572-814b-d33668615999,Switchable Zero Tolerance Portal,Clothing,117.38,10.056,104,True,2025-01-15,SKU-ERO-7520,60.36,SUP-3848,BIN-LZ-44,27
PROD-0bb9f73b-f550-4829-9af4-3a0c1324dfe3,Horizontal Reciprocal Instruction Set,Automotive,156.02,8.157,357,True,2025-05-18,SKU-UXT-2504,56.58,SUP-7110,BIN-HV-90,36
PROD-0511e0ab-ada5-4390-8de7-c7c3f62fb205,Visionary Contextually-Based Monitoring,Electronics,629.01,2.146,387,False,2025-01-19,SKU-JAP-0980,303.9,SUP-4030,BIN-WD-73,33
PROD-5fce63ab-a9fa-4aad-bef9-f705739d439d,Function-Based Responsive Internet Solution,Home & Garden,354.42,2.551,156,True,2024-06-09,SKU-JDC-9210,204.9,SUP-9815,BIN-NK-60,35
PROD-9eb34569-f199-4984-9a1d-b324b5728592,Enhanced Discrete Project,Beauty,53.7,13.421,11,True,2024-08-24,SKU-LTE-0848,24.7,SUP-1834,BIN-NA-73,12
PROD-57ed499f-234c-48ba-a2a5-f11a8914a584,Programmable Holistic Interface,Automotive,148.21,2.489,58,False,2024-10-17,SKU-FGA-4441,79.03,SUP-2751,BIN-DF-96,9
PROD-467432df-b6e9-4979-8a86-f1a6aa4d94dd,Synchronized Client-Server Encryption,Beauty,45.12,8.9,365,True,2024-10-30,SKU-LRN-7277,21.25,SUP-8765,BIN-DR-41,22
PROD-59b14cb0-4c16-4abb-a3e9-7e5ff8a24cee,Advanced Stable Implementation,Beauty,7.37,17.237,371,True,2025-02-14,SKU-YRN-9017,4.77,SUP-8581,BIN-QW-47,21
PROD-6d58edb8-14f6-4264-bbc7-3d6d9b38214e,De-Engineered Modular Model,Books,31.46,3.871,29,True,2023-09-23,SKU-BSQ-3213,13.89,SUP-6046,BIN-WD-66,5
PROD-7cb1fb55-6e91-4a3a-a309-b0a86bf2a613,Self-Enabling Demand-Driven Functionalities,Electronics,700.56,19.954,77,False,2023-07-25,SKU-EQJ-1870,297.87,SUP-2326,BIN-UV-52,21
PROD-2fdcc838-3b2f-441e-b8c5-f37bb73f73f8,Cloned Non-Volatile Challenge,Beauty,68.85,20.867,231,True,2024-10-05,SKU-PWR-8356,39.17,SUP-7479,BIN-LN-85,43
PROD-5ccdb50d-cbef-4494-9008-98a273ce5686,Operative Eco-Centric Orchestration,Home & Garden,304.69,24.588,264,True,2023-11-16,SKU-TNA-3964,180.41,SUP-3054,BIN-UJ-44,11
PROD-030bfaa8-16c4-43c8-9fad-d56a287ccdf0,Extended Incremental Alliance,Electronics,94.67,9.032,293,True,2023-12-31,SKU-GVT-2586,41.48,SUP-8290,BIN-UP-84,10
PROD-3bb00df2-9dc5-4a0a-adba-ceeab70d9eb4,Team-Oriented Composite Hub,Clothing,132.5,7.175,28,True,2024-06-03,SKU-IXW-3535,64.4,SUP-8925,BIN-NY-62,10
PROD-f00d29a3-e708-4a1c-885b-993b7ff37cd8,Business-Focused Maximized Info-Mediaries,Beauty,70.72,20.219,165,True,2025-01-10,SKU-UNC-0823,33.53,SUP-3215,BIN-XN-63,39
PROD-e84bc4b6-074e-44fe-8c92-07768b85646b,Team-Oriented Bi-Directional Task-Force,Books,39.33,1.155,426,True,2025-07-21,SKU-IZG-2382,22.15,SUP-9310,BIN-IO-56,27
PROD-1485573d-9090-4315-a0fb-be567d1a124b,Stand-Alone Multi-Tasking Initiative,Home & Garden,57.61,6.695,171,True,2024-03-15,SKU-WQD-3276,29.81,SUP-8708,BIN-LS-51,40
PROD-7825decf-b6e3-45c2-bc85-0284e88819fe,Customer-Focused Stable Infrastructure,Toys,59.83,23.71,329,True,2023-09-05,SKU-LYW-8262,29.82,SUP-5891,BIN-XZ-53,40
PROD-2b802833-a500-4c20-b955-1e15bc143add,Managed System-Worthy Functionalities,Beauty,61.17,14.723,177,True,2024-10-16,SKU-ERL-2531,25.74,SUP-1652,BIN-MV-98,44
PROD-72e763f4-806f-4401-a0f8-d9685ab68ea3,Upgradable User-Facing Open Architecture,Books,48.08,10.006,444,True,2025-11-12,SKU-XZH-6583,17.65,SUP-5153,BIN-RE-07,8
PROD-0b653213-099e-4a2b-a716-df6c262f8c0a,Advanced Web-Enabled Benchmark,Sports,284.66,21.406,16,True,2023-05-01,SKU-DFC-3533,107.34,SUP-6665,BIN-TO-55,46
PROD-6636dde4-ec2c-4d50-b8ab-fd30b3bf1f4f,Mandatory Incremental Budgetary Management,Home & Garden,78.83,20.14,337,True,2024-03-30,SKU-XRS-7248,42.16,SUP-8232,BIN-XD-41,46
PROD-22bb9909-8abb-4af6-aff5-8a5997dbb14c,Multi-Lateral User-Facing Moratorium,Toys,82.31,5.803,483,True,2024-10-17,SKU-IVW-4481,42.82,SUP-2934,BIN-FY-89,49
PROD-2375c31a-bbe2-4949-b4dc-dc789d21ef46,Business-Focused Dynamic Encoding,Clothing,52.36,21.013,352,True,2025-02-13,SKU-HIE-9203,27.04,SUP-9300,BIN-YI-53,11
PROD-a86ec09e-cf60-4ebf-8955-1ce89d1e387e,Triple-Buffered Static Database,Sports,120.79,3.493,68,True,2025-06-12,SKU-XHJ-7435,42.29,SUP-1869,BIN-UH-35,25
PROD-a321f041-ed9d-4f46-a432-bcb94d362954,Optional Reciprocal Capacity,Automotive,200.55,6.224,289,True,2024-06-15,SKU-XSB-5315,75.14,SUP-9868,BIN-HI-93,21
PROD-0e59957b-a8d1-49e7-bb10-d25df5ce4d21,Optimized Mission-Critical Initiative,Home & Garden,93.41,16.657,498,True,2025-09-14,SKU-EYC-8489,59.81,SUP-4406,BIN-DR-16,25
PROD-76dc90e1-c881-42e5-b3eb-52c6f1835fdb,Virtual Context-Sensitive Emulation,Beauty,63.11,9.009,270,False,2025-05-28,SKU-IRO-3256,37.86,SUP-2163,BIN-RY-74,33
PROD-d42c4ef6-cb69-4bd1-8ab5-31060731a597,Integrated Tangible Solution,Automotive,156.52,17.424,36,True,2026-02-03,SKU-JNZ-5473,61.89,SUP-1597,BIN-TN-18,20
PROD-8b4eeb65-7947-4a71-a173-b64c3d986241,Enterprise-Wide Even-Keeled Access,Toys,12.89,16.973,83,True,2023-05-10,SKU-DLL-8537,5.61,SUP-7188,BIN-YH-02,29
PROD-01789e2f-5768-432c-88bc-81f4813641a8,User-Centric User-Facing Info-Mediaries,Home & Garden,313.91,12.767,380,False,2025-06-07,SKU-GTU-1647,157.96,SUP-5862,BIN-VU-16,41
PROD-b70414e4-b201-455f-81a8-6e8f8a467f4b,Switchable Fault-Tolerant Synergy,Books,6.87,12.004,7,True,2024-09-11,SKU-KEL-5434,3.31,SUP-0875,BIN-UL-29,25
PROD-6344704a-fe0f-4156-9459-4de87776149b,Adaptive Full-Range Success,Toys,24.15,20.645,80,True,2024-11-12,SKU-IIJ-5845,14.59,SUP-0246,BIN-QY-93,36
PROD-073c37b5-e004-43b1-8081-f70317fd2217,Centralized Dynamic Function,Toys,56.65,0.236,222,False,2024-03-24,SKU-GTJ-2765,21.24,SUP-9402,BIN-OE-12,40
PROD-71b36521-c290-44e1-8f9f-e43f460bf985,Triple-Buffered Encompassing Access,Sports,156.02,8.462,394,True,2025-03-18,SKU-HYN-1723,72.76,SUP-5278,BIN-QV-67,29
PROD-4346f00d-553a-41a6-a3d6-0ed0cbe64efe,Proactive Exuding Algorithm,Toys,9.3,10.919,318,True,2025-08-08,SKU-KYK-1701,4.68,SUP-8092,BIN-WN-84,33
PROD-e1d82fb3-196a-4b41-8d92-be8d94a49e5e,Multi-Channeled Heuristic Strategy,Clothing,129.52,0.522,242,True,2025-08-13,SKU-MGE-2684,55.95,SUP-7392,BIN-WV-93,5
PROD-a2a8fce5-0e75-43b1-a7e2-84bc16624131,Stand-Alone Mission-Critical Core,Automotive,156.71,21.422,342,True,2025-06-01,SKU-DPT-2573,74.68,SUP-3754,BIN-HV-83,12
PROD-4a149dfb-4bad-4040-a8d4-9409fe2322a3,Enterprise-Wide Mission-Critical Superstructure,Books,28.99,15.963,406,True,2025-10-19,SKU-YLK-2461,10.52,SUP-8087,BIN-VV-08,24
PROD-ec6c977c-94cf-4d16-b960-7b5f95980551,Fully-Configurable Full-Range Methodology,Toys,37.96,19.936,466,True,2024-09-19,SKU-ULB-4420,13.63,SUP-4923,BIN-ZB-36,47
PROD-2470ba6c-3c37-4103-b6f0-0c01699ac0a5,Function-Based Fault-Tolerant Approach,Home & Garden,284.21,0.761,146,True,2023-11-06,SKU-EQL-5228,129.05,SUP-2895,BIN-LE-68,29
PROD-dc2d8f41-9e73-4aaf-9a9b-63e6afb170a7,Multi-Channeled Background Process Improvement,Automotive,174.4,8.103,328,True,2025-04-10,SKU-CVV-7180,111.5,SUP-0712,BIN-HU-28,25
PROD-79ca31d5-93d2-4e67-a91a-a102a3fb596d,Organic Coherent Artificial Intelligence,Electronics,625.11,23.898,373,True,2023-05-20,SKU-IFB-3473,390.83,SUP-8467,BIN-MW-72,22
PROD-bb33a8e8-fe44-4333-a349-789e3338a1e7,Pre-Emptive Upward-Trending Graphical User Interface,Beauty,61.88,23.939,360,True,2025-12-31,SKU-XCF-6164,26.1,SUP-3986,BIN-LV-21,25
PROD-ef65e64d-721b-4f9d-9edb-8cf038998a8e,Programmable Responsive Projection,Clothing,31.51,9.032,344,True,2023-07-10,SKU-UFO-5416,19.72,SUP-9885,BIN-XW-74,12
PROD-e8028fbb-57c8-4ddb-a85b-0d24da1d0263,Streamlined Modular Task-Force,Toys,87.87,9.737,450,True,2025-03-10,SKU-SGB-4364,56.2,SUP-0096,BIN-CA-05,11
PROD-e302a69a-77e1-4f0f-b03a-942d59a8b072,User-Friendly Neutral Function,Automotive,110.42,1.028,256,True,2025-08-31,SKU-AKN-2187,48.03,SUP-9575,BIN-JV-96,35
PROD-789e60d0-565d-45a1-bda3-9dac057df641,Ergonomic Systematic Projection,Sports,198.51,1.79,258,False,2024-11-03,SKU-DPC-4965,112.44,SUP-8713,BIN-RV-04,23
PROD-0143be30-9c82-4385-8546-8786eaf6d959,Streamlined Mission-Critical Encoding,Books,9.6,18.652,166,True,2024-03-14,SKU-OYX-4861,3.57,SUP-3380,BIN-YR-96,50
PROD-ff58164a-6a1b-4360-b66f-8cca78c11dab,Multi-Channeled Bandwidth-Monitored Open System,Clothing,44.63,22.099,425,True,2026-02-20,SKU-QYZ-4218,25.35,SUP-7963,BIN-OT-83,30
PROD-c2ac1801-927b-41ae-9809-f137e7e749b7,Balanced Modular Application,Electronics,896.44,10.402,349,True,2025-11-11,SKU-PXQ-5567,390.0,SUP-6241,BIN-EJ-46,46
PROD-8f725df5-2e7e-4623-a91d-799dcb54d1dd,Multi-Tiered Analyzing System Engine,Automotive,232.86,12.323,307,True,2024-02-03,SKU-KDY-3758,117.12,SUP-4045,BIN-IY-09,40
PROD-cda56ab4-01c3-4953-a20b-25586827639b,Synergistic Web-Enabled Approach,Home & Garden,147.99,15.559,411,True,2024-12-11,SKU-PUO-9530,77.47,SUP-2302,BIN-PP-24,29
