item_id,order_id,product_id,quantity,unit_price,discount,line_total,promo_applied,fulfillment_center_id,picking_status_code
ITEM-f12491af-86f7-4d5c-9513-a3b0545eba5d,ORD-4d791f56-c6f3-4c67-9b53-0078b73fd05c,PROD-501f9b46-4758-4914-a9b8-368585737279,8,268.13,429.01,1716.03,True,FC-80,PICK_COMPLETE
ITEM-e4d9cfb4-852e-4389-9945-fc522d4d6967,ORD-4d791f56-c6f3-4c67-9b53-0078b73fd05c,PROD-1fd82f3f-1467-4da2-95d9-bda1c09428fe,8,731.69,0.0,5853.52,False,FC-50,PICK_FAILED
ITEM-04b09b70-c48f-4161-88e8-f3da6b83735e,ORD-4d791f56-c6f3-4c67-9b53-0078b73fd05c,PROD-bc0c9e0b-e864-4d2b-b3ef-fdd645f93f0a,8,34.37,13.75,261.21,True,FC-37,PICK_COMPLETE
ITEM-7d3727df-b4f5-44c1-a1a3-a7f8ecd372d8,ORD-4d791f56-c6f3-4c67-9b53-0078b73fd05c,PROD-501f9b46-4758-4914-a9b8-368585737279,4,268.13,214.5,858.02,True,FC-10,PICK_PENDING
ITEM-be76cc2a-476c-4c7a-8a86-195d25c8ada7,ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,PROD-534f0b03-3f36-4240-b2ae-891954886cf6,6,43.1,25.86,232.74,True,FC-63,PICK_FAILED
ITEM-a0aad52d-f995-49c6-af64-e415742ad6ab,ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,PROD-be75518e-1911-4f3d-bfa7-8ca8a03cdace,4,28.59,5.72,108.64,True,FC-64,PICK_FAILED
ITEM-a78d283a-2d02-4d40-8b3a-9ad9dd419cb9,ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,PROD-GHOST-004,3,719.09,431.45,1725.82,True,FC-36,PICK_FAILED
ITEM-b50a47c4-82a6-4c41-a2ca-6e41be6c5491,ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,PROD-16fa4ab3-d121-4aee-b92a-47208424bfa7,7,215.0,0.0,1505.0,False,FC-13,PICK_FAILED
ITEM-fb149617-b36c-4e6d-8a64-e095142fcb18,ORD-7ae689a5-a81a-43a6-801a-f9b9ea2c00e4,PROD-d456db34-3dca-441d-b7d1-44b4ac828051,2,61.01,12.2,109.82,True,FC-41,PICK_FAILED
ITEM-0d903625-23c2-44e6-9880-f19b2a6b79b7,ORD-8775bffc-fe97-48fa-a40e-199cf203744d,PROD-02eaf9e9-f628-4e69-97d9-c496fd1aa771,7,156.03,109.22,982.99,True,FC-84,PICK_PENDING
ITEM-cd79cc5b-ab96-49b1-9947-b4508ee0fd59,ORD-8775bffc-fe97-48fa-a40e-199cf203744d,PROD-75814abf-07ce-4019-bb01-f551db00bd8a,6,40.0,12.0,228.0,True,FC-46,PICK_COMPLETE
ITEM-7e54f9e7-7ef1-43f3-a2df-34150a7608ba,ORD-8775bffc-fe97-48fa-a40e-199cf203744d,PROD-dde7faf2-a932-43da-a1a2-dffc79b380fd,4,294.32,0.0,1177.28,False,FC-60,PICK_PENDING
ITEM-4f3ac7f9-afe3-4ebd-a71f-10b25d36659c,ORD-8775bffc-fe97-48fa-a40e-199cf203744d,PROD-bec5b96b-eba9-4ed9-a17e-f0b729b055c1,7,17.17,18.03,102.16,True,FC-72,PICK_COMPLETE
ITEM-5aa16d30-b3e0-4af2-b816-be4d722e4860,ORD-8775bffc-fe97-48fa-a40e-199cf203744d,PROD-GHOST-004,5,66.62,16.66,316.44,True,FC-50,PICK_FAILED
ITEM-df0458c4-1f3a-4c82-b193-25180041b8fe,ORD-02687b4b-b36a-4c46-986b-2ee088809a2f,PROD-1b8b2d57-bf51-4a10-bf22-89b1e8e19097,6,24.17,7.25,137.77,True,FC-35,PICK_COMPLETE
ITEM-c11ee285-799d-4049-b701-4471e57c5666,ORD-02687b4b-b36a-4c46-986b-2ee088809a2f,PROD-178eedd7-eb6f-4ee9-a6ce-6757c87cf8cb,5,225.84,112.92,1016.28,True,FC-68,PICK_COMPLETE
ITEM-09d22f65-ffc9-465b-a440-54a01572782a,ORD-02687b4b-b36a-4c46-986b-2ee088809a2f,PROD-75814abf-07ce-4019-bb01-f551db00bd8a,3,40.0,6.0,114.0,True,FC-57,PICK_PENDING
ITEM-3618977f-139f-4b82-a91c-dcf3517d4880,ORD-02687b4b-b36a-4c46-986b-2ee088809a2f,PROD-5327f4f7-6bae-4d0e-9fa2-11b535f19bc9,4,180.72,36.14,686.74,True,FC-73,PICK_COMPLETE
ITEM-0bba323d-74e1-43ee-9b85-ecbd9f61a400,ORD-4f38d849-d81f-4f30-ab1c-beb9bdba7d25,PROD-64aea75e-a1a7-4066-acd4-480ccb6b4613,3,97.42,43.84,248.42,True,FC-47,PICK_PENDING
ITEM-9a1a5269-b6a6-4e47-a7b4-8c6f2a715396,ORD-582e7789-1d1b-401a-bc9e-1776ef2cdc45,PROD-f32d448d-9650-47e0-9ab6-f9433388797d,4,10.19,2.04,38.72,True,FC-55,PICK_FAILED
ITEM-1e9f5eec-f202-4957-bea9-f1d57cdb82d3,ORD-4d9f73a9-2d5e-4e27-a7d5-10a00688f30b,PROD-f073fbe0-3982-4dd5-bfc3-0342e0ff54b6,3,144.35,21.65,411.4,True,FC-58,PICK_PENDING
ITEM-33e4b8a2-20a0-4781-a07b-18f37117f862,ORD-f2344a27-2aec-43ef-8fc4-a408ffe9fa46,PROD-859325dd-7327-4490-ad18-b60d1279e892,2,29.07,8.72,49.42,True,FC-61,PICK_FAILED
ITEM-a85057fd-431a-4b1e-b2e8-800e0547293d,ORD-f2344a27-2aec-43ef-8fc4-a408ffe9fa46,PROD-35384a1b-3258-43b6-b3f7-291887a813a5,4,230.83,184.66,738.66,True,FC-59,PICK_COMPLETE
ITEM-7743f4d0-48da-4f21-8df9-b51bd786bc37,ORD-36b4eecd-21bb-4019-a4f5-9b3c4b0f4867,PROD-07d8c194-4341-4b57-8304-45c8e2c3b705,5,79.51,0.0,397.55,False,FC-65,PICK_PENDING
